,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
26,26.0,26.0,26.0,2.0,8,100,500,500,50,0,6.833869793201134e+161,0,"LR (500, True)"
27,27.0,27.0,27.0,0.0,9,10,500,500,50,0,5.633490542706545e+198,0,"LR (500, True)"
28,28.0,28.0,28.0,1.0,9,50,500,500,50,0,8.984874848729709e+212,0,"LR (500, True)"
29,29.0,29.0,29.0,2.0,9,100,500,500,50,0,9.921431586638502e+205,0,"LR (500, True)"
30,30.0,30.0,30.0,0.0,10,10,500,500,50,0,1.1300711286776628e+101,0,"LR (500, True)"
31,31.0,31.0,31.0,1.0,10,50,500,500,50,0,1.6494138481665232e+46,0,"LR (500, True)"
32,32.0,32.0,32.0,2.0,10,100,500,500,50,0,6.591120574436069e+225,0,"LR (500, True)"
33,33.0,33.0,33.0,0.0,11,10,500,500,50,0,1.7199103191898095e+140,0,"LR (500, True)"
34,34.0,34.0,34.0,1.0,11,50,500,500,50,0,inf,0,"LR (500, True)"
35,35.0,35.0,35.0,2.0,11,100,500,500,50,0,1.5881233582482553e+71,0,"LR (500, True)"
36,36.0,36.0,36.0,0.0,12,10,500,500,50,0,1.0158225756059338e+100,0,"LR (500, True)"
37,37.0,37.0,37.0,1.0,12,50,500,500,50,0,1.121925435766285e+268,0,"LR (500, True)"
38,38.0,38.0,38.0,2.0,12,100,500,500,50,0,9.682914282460224e+105,0,"LR (500, True)"
39,39.0,39.0,39.0,0.0,13,10,500,500,50,0,9.439575384908631e+66,0,"LR (500, True)"
40,40.0,40.0,40.0,1.0,13,50,500,500,50,0,4.711982566064916e+56,0,"LR (500, True)"
41,41.0,41.0,41.0,2.0,13,100,500,500,50,0,9.409561814446454e+66,0,"LR (500, True)"
42,42.0,42.0,42.0,0.0,14,10,500,500,50,0,6.836509021548544e+81,0,"LR (500, True)"
43,43.0,43.0,43.0,1.0,14,50,500,500,50,0,3.553250724867286e+94,0,"LR (500, True)"
44,44.0,44.0,44.0,2.0,14,100,500,500,50,0,2.8604905104370467e+46,0,"LR (500, True)"
45,45.0,45.0,45.0,0.0,15,10,500,500,50,0,1.6739059510351674e+100,0,"LR (500, True)"
46,46.0,46.0,46.0,1.0,15,50,500,500,50,0,1.163827940817923e+61,0,"LR (500, True)"
47,47.0,47.0,47.0,2.0,15,100,500,500,50,0,1.4935462998691134e+128,0,"LR (500, True)"
48,48.0,48.0,48.0,0.0,16,10,500,500,50,0,3.509929380090153e+72,0,"LR (500, True)"
49,49.0,49.0,49.0,1.0,16,50,500,500,50,0,2.0216828631188926e+123,0,"LR (500, True)"
50,50.0,50.0,50.0,2.0,16,100,500,500,50,0,1.154343956244527e+56,0,"LR (500, True)"
51,51.0,51.0,51.0,0.0,17,10,500,500,50,0,inf,0,"LR (500, True)"
52,52.0,52.0,52.0,1.0,17,50,500,500,50,0,inf,0,"LR (500, True)"
53,53.0,53.0,53.0,2.0,17,100,500,500,50,0,6.178139376916416e+93,0,"LR (500, True)"
54,54.0,54.0,54.0,0.0,18,10,500,500,50,0,3.346604087868277e+68,0,"LR (500, True)"
55,55.0,55.0,55.0,1.0,18,50,500,500,50,0,6.0718105877062246e+94,0,"LR (500, True)"
56,56.0,56.0,56.0,2.0,18,100,500,500,50,0,3.1132737814751915e+242,0,"LR (500, True)"
57,57.0,57.0,57.0,0.0,19,10,500,500,50,0,3.5685689385545074e+40,0,"LR (500, True)"
58,58.0,58.0,58.0,1.0,19,50,500,500,50,0,1.1128991373255191e+241,0,"LR (500, True)"
59,59.0,59.0,59.0,2.0,19,100,500,500,50,0,2.054893639141237e+35,0,"LR (500, True)"
60,60.0,60.0,60.0,0.0,20,10,500,500,50,0,2.5661876386502207e+38,0,"LR (500, True)"
61,61.0,61.0,61.0,1.0,20,50,500,500,50,0,3.459349692139802e+69,0,"LR (500, True)"
62,62.0,62.0,62.0,2.0,20,100,500,500,50,0,1.4003519344083783e+94,0,"LR (500, True)"
63,63.0,63.0,63.0,0.0,21,10,500,500,50,0,1.8884237242316767e+74,0,"LR (500, True)"
64,64.0,64.0,64.0,1.0,21,50,500,500,50,0,7.451017723346798e+29,0,"LR (500, True)"
65,65.0,65.0,65.0,2.0,21,100,500,500,50,0,1.0531607465648156e+112,0,"LR (500, True)"
66,66.0,66.0,66.0,0.0,22,10,500,500,50,0,3.20991967184823e+130,0,"LR (500, True)"
67,67.0,67.0,67.0,1.0,22,50,500,500,50,0,5.0985912876540916e+88,0,"LR (500, True)"
68,68.0,68.0,68.0,2.0,22,100,500,500,50,0,2.631941169214651e+144,0,"LR (500, True)"
69,69.0,69.0,69.0,0.0,23,10,500,500,50,0,7.085817979693812e+50,0,"LR (500, True)"
70,70.0,70.0,70.0,1.0,23,50,500,500,50,0,2.1886729406457792e+139,0,"LR (500, True)"
71,71.0,71.0,71.0,2.0,23,100,500,500,50,0,1.170987425327144e+185,0,"LR (500, True)"
72,72.0,72.0,72.0,0.0,24,10,500,500,50,0,4.876597305761015e+38,0,"LR (500, True)"
73,73.0,73.0,73.0,1.0,24,50,500,500,50,0,5.340562712561874e+141,0,"LR (500, True)"
74,74.0,74.0,74.0,2.0,24,100,500,500,50,0,1.3182677628531554e+81,0,"LR (500, True)"
75,75.0,75.0,75.0,0.0,25,10,500,500,50,0,2.276525715858526e+122,0,"LR (500, True)"
76,76.0,76.0,76.0,1.0,25,50,500,500,50,0,5.762481769749945e+121,0,"LR (500, True)"
77,77.0,77.0,77.0,2.0,25,100,500,500,50,0,3.9320076824735743e+123,0,"LR (500, True)"
78,78.0,78.0,78.0,0.0,26,10,500,500,50,0,inf,0,"LR (500, True)"
