,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
8,15,80,40,40,50,0,1.0477030821925784e+24,0,"LR (40, True)"
9,15,90,40,40,50,0,5.1343564157542625e+23,0,"LR (40, True)"
10,15,100,40,40,50,0,5590670445.134552,0,"LR (40, True)"
0,16,5,40,40,50,0,2.1912723995545644e+24,0,"LR (40, True)"
1,16,10,40,40,50,0,2.0778226078677565e+19,0,"LR (40, True)"
2,16,20,40,40,50,0,29601441376.175304,0,"LR (40, True)"
3,16,30,40,40,50,0,1.0660829401678702e+155,0,"LR (40, True)"
4,16,40,40,40,50,0,1.2000553278117416e+23,0,"LR (40, True)"
5,16,50,40,40,50,0,1.951245888779296e+83,0,"LR (40, True)"
6,16,60,40,40,50,0,512338464156.64044,0,"LR (40, True)"
7,16,70,40,40,50,0,1259442.3409688277,0,"LR (40, True)"
8,16,80,40,40,50,0,1.644000832690822e+38,0,"LR (40, True)"
9,16,90,40,40,50,0,7.954233649656651e+49,0,"LR (40, True)"
10,16,100,40,40,50,0,46708.863636871094,0,"LR (40, True)"
0,17,5,40,40,50,0,103745.73360527432,0,"LR (40, True)"
1,17,10,40,40,50,0,41473.30718643994,0,"LR (40, True)"
2,17,20,40,40,50,0,4.628413177388935e+68,0,"LR (40, True)"
3,17,30,40,40,50,0,1.6151364391816345e+29,0,"LR (40, True)"
4,17,40,40,40,50,0,8.830527653270163e+46,0,"LR (40, True)"
5,17,50,40,40,50,0,747145803238.5782,0,"LR (40, True)"
6,17,60,40,40,50,0,7.2310985024431655e+25,0,"LR (40, True)"
7,17,70,40,40,50,0,15746129292422.547,0,"LR (40, True)"
8,17,80,40,40,50,0,159181334.54964098,0,"LR (40, True)"
9,17,90,40,40,50,0,11118.383418603673,0,"LR (40, True)"
10,17,100,40,40,50,0,5.533952880445889e+36,0,"LR (40, True)"
0,18,5,40,40,50,0,2753226626.148289,0,"LR (40, True)"
1,18,10,40,40,50,0,11862181.992954735,0,"LR (40, True)"
2,18,20,40,40,50,0,2.9680783690969246e+47,0,"LR (40, True)"
3,18,30,40,40,50,0,5.644225470584613e+62,0,"LR (40, True)"
4,18,40,40,40,50,0,1.4249511521082662e+165,0,"LR (40, True)"
5,18,50,40,40,50,0,1.4074121063964697e+29,0,"LR (40, True)"
6,18,60,40,40,50,0,27211682.22071432,0,"LR (40, True)"
7,18,70,40,40,50,0,9.830698412545663e+96,0,"LR (40, True)"
8,18,80,40,40,50,0,3354933203.677729,0,"LR (40, True)"
9,18,90,40,40,50,0,18614700784.232197,0,"LR (40, True)"
10,18,100,40,40,50,0,3.72179828460865e+41,0,"LR (40, True)"
0,19,5,40,40,50,0,6173.052795057376,0,"LR (40, True)"
1,19,10,40,40,50,0,974127851353043.2,0,"LR (40, True)"
2,19,20,40,40,50,0,inf,0,"LR (40, True)"
3,19,30,40,40,50,0,228218267105297.44,0,"LR (40, True)"
4,19,40,40,40,50,0,2.7961004361595876e+166,0,"LR (40, True)"
5,19,50,40,40,50,0,524635365544.54736,0,"LR (40, True)"
6,19,60,40,40,50,0,940720524.9526697,0,"LR (40, True)"
7,19,70,40,40,50,0,6332586.246670044,0,"LR (40, True)"
8,19,80,40,40,50,0,8684085530195907.0,0,"LR (40, True)"
9,19,90,40,40,50,0,6.699865585362747e+52,0,"LR (40, True)"
10,19,100,40,40,50,0,3447155272131.627,0,"LR (40, True)"
0,20,5,40,40,50,0,1.375760259108948e+27,0,"LR (40, True)"
1,20,10,40,40,50,0,3.858575006311032e+92,0,"LR (40, True)"
2,20,20,40,40,50,0,913164387.350848,0,"LR (40, True)"
