,rep,n,latent_dim,embed_dim,timesteps,loss,total_cost,id
3,23,30,200,200,50,97.24107011875054,0,LR (False)
4,23,30,300,300,50,214276.0067201385,0,LR (False)
5,23,30,400,400,50,32738.428311104974,0,LR (False)
6,23,30,500,500,50,1775506954.947378,0,LR (False)
7,23,30,600,600,50,1119808599104.637,0,LR (False)
8,23,30,700,700,50,6.619560998467297e+27,0,LR (False)
9,23,30,800,800,50,inf,0,LR (False)
10,23,30,900,900,50,9.637920867377097e+165,0,LR (False)
11,23,30,100,100,50,0.002312142274881065,0,LR (False)
0,24,30,10,10,50,6.733646391870198e-07,0,LR (False)
1,24,30,50,50,50,0.0031768046383972054,0,LR (False)
2,24,30,100,100,50,0.0012804309096937905,0,LR (False)
3,24,30,200,200,50,2052.4755640051567,0,LR (False)
4,24,30,300,300,50,720.6544185093189,0,LR (False)
5,24,30,400,400,50,2449.457087407476,0,LR (False)
6,24,30,500,500,50,5039294.673828336,0,LR (False)
7,24,30,600,600,50,37982942.488418765,0,LR (False)
8,24,30,700,700,50,1.3642820400885502e+25,0,LR (False)
9,24,30,800,800,50,3.111176418914424e+160,0,LR (False)
10,24,30,900,900,50,6.158264388436558e+241,0,LR (False)
11,24,30,100,100,50,0.023486342157695142,0,LR (False)
0,25,30,10,10,50,1.2214781603722333e-06,0,LR (False)
1,25,30,50,50,50,4.969791922659855e-05,0,LR (False)
2,25,30,100,100,50,0.016184646810892003,0,LR (False)
3,25,30,200,200,50,79.59551252658952,0,LR (False)
4,25,30,300,300,50,10777.699694590192,0,LR (False)
5,25,30,400,400,50,324667.3811816375,0,LR (False)
6,25,30,500,500,50,142957.6151190454,0,LR (False)
7,25,30,600,600,50,1120941394.729264,0,LR (False)
8,25,30,700,700,50,9.397557646067057e+207,0,LR (False)
9,25,30,800,800,50,2.3947184703104655e+160,0,LR (False)
10,25,30,900,900,50,7.250039515655658e+176,0,LR (False)
11,25,30,100,100,50,0.0326892028125362,0,LR (False)
0,26,30,10,10,50,7.621301021844011e-07,0,LR (False)
1,26,30,50,50,50,2.376254764200732e-05,0,LR (False)
2,26,30,100,100,50,0.03353650715703674,0,LR (False)
3,26,30,200,200,50,949.037713932406,0,LR (False)
4,26,30,300,300,50,734116.5788484673,0,LR (False)
5,26,30,400,400,50,370.5783940268178,0,LR (False)
6,26,30,500,500,50,59800.40438756714,0,LR (False)
7,26,30,600,600,50,565000288.4745841,0,LR (False)
8,26,30,700,700,50,4.060621267866747e+233,0,LR (False)
9,26,30,800,800,50,8.498718799004744e+124,0,LR (False)
10,26,30,900,900,50,9.665788508071151e+237,0,LR (False)
11,26,30,100,100,50,0.000697132002003919,0,LR (False)
0,27,30,10,10,50,5.568313482678306e-06,0,LR (False)
1,27,30,50,50,50,0.00010588451269691646,0,LR (False)
2,27,30,100,100,50,0.0007874986150935609,0,LR (False)
3,27,30,200,200,50,21.852114246740985,0,LR (False)
4,27,30,300,300,50,1207.5241932187828,0,LR (False)
5,27,30,400,400,50,821.8507823629162,0,LR (False)
6,27,30,500,500,50,10397.689226605626,0,LR (False)
7,27,30,600,600,50,799434687.9032353,0,LR (False)
8,27,30,700,700,50,1.700790549349114e+18,0,LR (False)
9,27,30,800,800,50,1.4625266627088278e+92,0,LR (False)
