,rep,n,latent_dim,embed_dim,timesteps,control_horizons,loss,total_cost,id
224,14,2,50,50,50,0,9.048549318602216e+168,0,LR (True)
225,14,4,50,50,50,0,1.2845343207633421e+126,0,LR (True)
226,14,8,50,50,50,0,1856909.1034064167,0,LR (True)
227,14,16,50,50,50,0,0.0015383679506961747,0,LR (True)
228,14,12,50,50,50,0,1.6604734833558927,0,LR (True)
229,14,10,50,50,50,0,82.18690592970732,0,LR (True)
230,14,9,50,50,50,0,13110.977151205974,0,LR (True)
231,14,9,50,50,50,0,13110.977151205974,0,LR (True)
232,15,2,50,50,50,0,1.941824586660895e+166,0,LR (True)
233,15,4,50,50,50,0,2.0485579450707182e+144,0,LR (True)
234,15,8,50,50,50,0,7990.804191264869,0,LR (True)
235,15,16,50,50,50,0,3.156904549675146e-05,0,LR (True)
236,15,12,50,50,50,0,0.03168128495431124,0,LR (True)
237,15,10,50,50,50,0,4.784378045395247,0,LR (True)
238,15,9,50,50,50,0,128.056760709691,0,LR (True)
239,15,8,50,50,50,0,7990.804191264869,0,LR (True)
240,16,2,50,50,50,0,2.337687612108721e+202,0,LR (True)
241,16,4,50,50,50,0,3.4154290365495935e+76,0,LR (True)
242,16,8,50,50,50,0,998.3170073677361,0,LR (True)
243,16,6,50,50,50,0,4400065890.026889,0,LR (True)
244,16,7,50,50,50,0,1167908.348675481,0,LR (True)
245,16,7,50,50,50,0,1167908.348675481,0,LR (True)
246,17,2,50,50,50,0,1.5130127182472125e+149,0,LR (True)
247,17,4,50,50,50,0,1.5800750777758574e+128,0,LR (True)
248,17,8,50,50,50,0,6162244.6675561825,0,LR (True)
249,17,16,50,50,50,0,0.0006012357442533837,0,LR (True)
250,17,12,50,50,50,0,0.18588427704187802,0,LR (True)
251,17,10,50,50,50,0,90.19048682617449,0,LR (True)
252,17,9,50,50,50,0,23150.568174419175,0,LR (True)
253,17,9,50,50,50,0,23150.568174419175,0,LR (True)
254,18,2,50,50,50,0,6.950467858031885e+153,0,LR (True)
255,18,4,50,50,50,0,8.614166096882045e+114,0,LR (True)
256,18,8,50,50,50,0,61937.04135613996,0,LR (True)
257,18,16,50,50,50,0,0.0013723200534623988,0,LR (True)
258,18,12,50,50,50,0,0.7366800336307225,0,LR (True)
259,18,10,50,50,50,0,54.395716883730245,0,LR (True)
260,18,9,50,50,50,0,32528.401532027452,0,LR (True)
261,18,9,50,50,50,0,32528.401532027452,0,LR (True)
262,19,2,50,50,50,0,1.2128407901576704e+196,0,LR (True)
263,19,4,50,50,50,0,6.784676700555354e+120,0,LR (True)
264,19,8,50,50,50,0,257722.17341783232,0,LR (True)
265,19,16,50,50,50,0,0.00013146578211330377,0,LR (True)
266,19,12,50,50,50,0,0.06051519426781074,0,LR (True)
267,19,10,50,50,50,0,4.075095861016353,0,LR (True)
268,19,9,50,50,50,0,2164.6169376930966,0,LR (True)
269,19,9,50,50,50,0,2164.6169376930966,0,LR (True)
270,20,2,50,50,50,0,8.720164306053093e+191,0,LR (True)
271,20,4,50,50,50,0,2.920684290830964e+129,0,LR (True)
272,20,8,50,50,50,0,6231540.158154255,0,LR (True)
273,20,16,50,50,50,0,0.0008360514307684049,0,LR (True)
274,20,12,50,50,50,0,0.590415007185674,0,LR (True)
275,20,10,50,50,50,0,41.786648238182316,0,LR (True)
276,20,9,50,50,50,0,1091.4996579268884,0,LR (True)
277,20,9,50,50,50,0,1091.4996579268884,0,LR (True)
278,21,2,50,50,50,0,5.13166178238172e+209,0,LR (True)
279,21,4,50,50,50,0,1.9875411108950474e+115,0,LR (True)
280,21,8,50,50,50,0,2676346.7721988074,0,LR (True)
281,21,16,50,50,50,0,0.0016424000712763984,0,LR (True)
282,21,12,50,50,50,0,0.3321566784765324,0,LR (True)
283,21,10,50,50,50,0,834.626004101826,0,LR (True)
284,21,9,50,50,50,0,23831.61605044494,0,LR (True)
285,21,9,50,50,50,0,23831.61605044494,0,LR (True)
286,22,2,50,50,50,0,2.9678649478568333e+155,0,LR (True)
287,22,4,50,50,50,0,7.120475571622254e+140,0,LR (True)
288,22,8,50,50,50,0,24333.773898099695,0,LR (True)
289,22,16,50,50,50,0,0.0004551392604358547,0,LR (True)
290,22,12,50,50,50,0,0.01524774911475863,0,LR (True)
291,22,10,50,50,50,0,12.074348335330718,0,LR (True)
292,22,9,50,50,50,0,290.1091858027778,0,LR (True)
293,22,8,50,50,50,0,24333.773898099695,0,LR (True)
294,23,2,50,50,50,0,3.870164564164899e+141,0,LR (True)
295,23,4,50,50,50,0,1.8513493091668983e+208,0,LR (True)
296,23,8,50,50,50,0,321082.2725867663,0,LR (True)
297,23,16,50,50,50,0,5.262508444345987e-05,0,LR (True)
298,23,12,50,50,50,0,0.4403485783386338,0,LR (True)
299,23,10,50,50,50,0,3.264262430835136,0,LR (True)
300,23,9,50,50,50,0,64.17582396794691,0,LR (True)
301,23,8,50,50,50,0,321082.2725867663,0,LR (True)
302,24,2,50,50,50,0,6.861517912628627e+141,0,LR (True)
303,24,4,50,50,50,0,4.294845611073271e+69,0,LR (True)
304,24,8,50,50,50,0,2860191.2161911083,0,LR (True)
305,24,16,50,50,50,0,0.029998525709172358,0,LR (True)
306,24,12,50,50,50,0,14.44869754638725,0,LR (True)
307,24,10,50,50,50,0,1210.8796277292467,0,LR (True)
308,24,11,50,50,50,0,171.85149760564252,0,LR (True)
309,24,10,50,50,50,0,1210.8796277292467,0,LR (True)
310,25,2,50,50,50,0,2.2701842146178397e+212,0,LR (True)
311,25,4,50,50,50,0,9.442948886724859e+151,0,LR (True)
312,25,8,50,50,50,0,12211.074944711925,0,LR (True)
313,25,16,50,50,50,0,0.0008114111065990581,0,LR (True)
314,25,12,50,50,50,0,0.026375306379276275,0,LR (True)
315,25,10,50,50,50,0,4.790161970694458,0,LR (True)
316,25,9,50,50,50,0,2320.587316977115,0,LR (True)
317,25,9,50,50,50,0,2320.587316977115,0,LR (True)
318,26,2,50,50,50,0,1.7090666970341175e+129,0,LR (True)
319,26,4,50,50,50,0,1.2970653621207032e+140,0,LR (True)
320,26,8,50,50,50,0,898.2043538925044,0,LR (True)
321,26,6,50,50,50,0,57506441.242301896,0,LR (True)
322,26,7,50,50,50,0,62511.00981451148,0,LR (True)
323,26,7,50,50,50,0,62511.00981451148,0,LR (True)
324,27,2,50,50,50,0,4.804781964132622e+120,0,LR (True)
325,27,4,50,50,50,0,2.887356371030383e+87,0,LR (True)
326,27,8,50,50,50,0,2166343882.1894197,0,LR (True)
327,27,16,50,50,50,0,0.08144725020276185,0,LR (True)
328,27,12,50,50,50,0,171.75958173814485,0,LR (True)
329,27,10,50,50,50,0,6590.258537651397,0,LR (True)
330,27,11,50,50,50,0,1515.5391621165159,0,LR (True)
331,27,11,50,50,50,0,1515.5391621165159,0,LR (True)
332,28,2,50,50,50,0,2.028569073333543e+214,0,LR (True)
333,28,4,50,50,50,0,3.5443055087660354e+239,0,LR (True)
334,28,8,50,50,50,0,49380.40574864828,0,LR (True)
335,28,16,50,50,50,0,0.00046301121776025784,0,LR (True)
336,28,12,50,50,50,0,1.4696318516934201,0,LR (True)
337,28,10,50,50,50,0,18.70679018679377,0,LR (True)
338,28,9,50,50,50,0,201.30324905953566,0,LR (True)
339,28,8,50,50,50,0,49380.40574864828,0,LR (True)
340,29,2,50,50,50,0,4.91397075279102e+143,0,LR (True)
341,29,4,50,50,50,0,1.0546814653010112e+193,0,LR (True)
342,29,8,50,50,50,0,769674.1803147781,0,LR (True)
343,29,16,50,50,50,0,6.995005844196757e-05,0,LR (True)
344,29,12,50,50,50,0,0.47177417079150663,0,LR (True)
345,29,10,50,50,50,0,52.54190995540743,0,LR (True)
346,29,9,50,50,50,0,6626.346315464058,0,LR (True)
347,29,9,50,50,50,0,6626.346315464058,0,LR (True)
348,0,8,100,100,50,0,3.089680988270516e+119,0,LR (True)
349,0,24,100,100,50,0,0.521511478419549,0,LR (True)
350,0,16,100,100,50,0,664229.9386131756,0,LR (True)
351,0,20,100,100,50,0,241.18504085364518,0,LR (True)
352,0,18,100,100,50,0,6465.113484675004,0,LR (True)
353,0,19,100,100,50,0,1651.4075864288766,0,LR (True)
354,0,19,100,100,50,0,1651.4075864288766,0,LR (True)
355,1,8,100,100,50,0,6.444412098457507e+121,0,LR (True)
356,1,24,100,100,50,0,0.05974319830399514,0,LR (True)
357,1,16,100,100,50,0,39241.093526742305,0,LR (True)
358,1,20,100,100,50,0,3.6515964269788914,0,LR (True)
359,1,18,100,100,50,0,382.8397682836764,0,LR (True)
360,1,17,100,100,50,0,1235.2412909610666,0,LR (True)
361,1,17,100,100,50,0,1235.2412909610666,0,LR (True)
362,2,8,100,100,50,0,5.876950747603545e+158,0,LR (True)
363,2,24,100,100,50,0,0.007761267705087973,0,LR (True)
364,2,16,100,100,50,0,3290.4021523779775,0,LR (True)
365,2,20,100,100,50,0,5.951903487460537,0,LR (True)
366,2,18,100,100,50,0,186.8391676656975,0,LR (True)
367,2,17,100,100,50,0,1027.4861261417095,0,LR (True)
368,2,17,100,100,50,0,1027.4861261417095,0,LR (True)
369,3,8,100,100,50,0,1.1713371961126927e+130,0,LR (True)
370,3,24,100,100,50,0,3.090369069716035,0,LR (True)
371,3,16,100,100,50,0,1306727.222252354,0,LR (True)
372,3,20,100,100,50,0,253.75469718447442,0,LR (True)
373,3,18,100,100,50,0,101543.95152618103,0,LR (True)
374,3,19,100,100,50,0,2606.333020756856,0,LR (True)
375,3,19,100,100,50,0,2606.333020756856,0,LR (True)
376,4,8,100,100,50,0,2.844076126614348e+210,0,LR (True)
377,4,24,100,100,50,0,0.03641266066466075,0,LR (True)
378,4,16,100,100,50,0,138803.98856405963,0,LR (True)
379,4,20,100,100,50,0,31.495393378515033,0,LR (True)
380,4,18,100,100,50,0,313.9435453985905,0,LR (True)
381,4,17,100,100,50,0,9938.00677697523,0,LR (True)
382,4,17,100,100,50,0,9938.00677697523,0,LR (True)
383,5,8,100,100,50,0,1.1036044842008149e+161,0,LR (True)
384,5,24,100,100,50,0,0.0013623642394974397,0,LR (True)
385,5,16,100,100,50,0,1542.2826015471592,0,LR (True)
386,5,20,100,100,50,0,0.27925086897680607,0,LR (True)
387,5,18,100,100,50,0,14.669803936415876,0,LR (True)
388,5,17,100,100,50,0,154.132743923208,0,LR (True)
389,5,16,100,100,50,0,1542.2826015471592,0,LR (True)
390,6,8,100,100,50,0,1.491649355347309e+120,0,LR (True)
391,6,24,100,100,50,0,0.03311308470082297,0,LR (True)
392,6,16,100,100,50,0,46592.12140090904,0,LR (True)
393,6,20,100,100,50,0,60.00890327611935,0,LR (True)
394,6,18,100,100,50,0,3516.078502164668,0,LR (True)
395,6,19,100,100,50,0,275.8209172634398,0,LR (True)
396,6,18,100,100,50,0,3516.078502164668,0,LR (True)
397,7,8,100,100,50,0,1.5731431371180925e+117,0,LR (True)
398,7,24,100,100,50,0,0.13674591385492266,0,LR (True)
399,7,16,100,100,50,0,841097.8386087477,0,LR (True)
400,7,20,100,100,50,0,6.894453524574387,0,LR (True)
401,7,18,100,100,50,0,703.3682519352097,0,LR (True)
402,7,17,100,100,50,0,3602.772998727386,0,LR (True)
403,7,17,100,100,50,0,3602.772998727386,0,LR (True)
404,8,8,100,100,50,0,5.792662696429996e+114,0,LR (True)
405,8,24,100,100,50,0,0.07713021299920887,0,LR (True)
406,8,16,100,100,50,0,4157.7587640292695,0,LR (True)
407,8,20,100,100,50,0,2.3769876434318684,0,LR (True)
408,8,18,100,100,50,0,59.4987294753213,0,LR (True)
409,8,17,100,100,50,0,282.26113545955906,0,LR (True)
410,8,16,100,100,50,0,4157.7587640292695,0,LR (True)
411,9,8,100,100,50,0,2.3646059610426776e+116,0,LR (True)
412,9,24,100,100,50,0,0.0006773572441051716,0,LR (True)
413,9,16,100,100,50,0,349.83550367886966,0,LR (True)
414,9,12,100,100,50,0,140552846.66242427,0,LR (True)
415,9,14,100,100,50,0,116329.92610310782,0,LR (True)
416,9,15,100,100,50,0,12202.22063711594,0,LR (True)
417,9,15,100,100,50,0,12202.22063711594,0,LR (True)
418,10,8,100,100,50,0,9.038622771673372e+196,0,LR (True)
419,10,24,100,100,50,0,0.003359498584199065,0,LR (True)
420,10,16,100,100,50,0,816.2497158996738,0,LR (True)
421,10,12,100,100,50,0,2085982943.222945,0,LR (True)
422,10,14,100,100,50,0,718843.8394870599,0,LR (True)
423,10,15,100,100,50,0,21304.816207388427,0,LR (True)
424,10,15,100,100,50,0,21304.816207388427,0,LR (True)
